Body,Transmission,Fuel,Brand,Model,Price,Color,Length,Width,Height,Wheel Base,Gear Box,Seats,Cargo Volume,Max Torque At
hatchback,manual,cng,maruti,maruti wagon r,370000,silver,3599.0,1495.0,1700.0,2400.0,5 speed,5.0,180.0,3500.0
hatchback,manual,cng,maruti,maruti celerio,365000,grey,3600.0,1600.0,1560.0,2425.0,5 speed,5.0,235.0,3500.0
sedan,manual,cng,honda,honda amaze,421000,silver,3990.0,1680.0,1505.0,2405.0,5 speed,5.0,400.0,4500.0
hatchback,manual,cng,maruti,maruti wagon r,240000,silver,3595.0,1475.0,1700.0,2400.0,5 speed,5.0,400.0,3500.0
muv,manual,cng,maruti,maruti ertiga,1175000,white,4395.0,1735.0,1690.0,2740.0,5 speed,7.0,400.0,4200.0
hatchback,manual,cng,maruti,maruti wagon r,250000,white,3599.0,1495.0,1700.0,2400.0,5 speed,5.0,180.0,3500.0
hatchback,manual,cng,maruti,maruti alto,145000,blue,3495.0,1475.0,1460.0,2360.0,5 speed,5.0,180.0,3000.0
hatchback,manual,cng,hyundai,hyundai grand i10,465000,grey,3765.0,1660.0,1520.0,2425.0,5 speed,5.0,256.0,4000.0
hatchback,manual,cng,maruti,maruti wagon r,560000,silver,3655.0,1620.0,1675.0,2435.0,5 speed,5.0,341.0,3500.0
hatchback,manual,cng,maruti,maruti wagon r,215000,silver,3599.0,1495.0,1700.0,2400.0,5 speed,5.0,180.0,3500.0
hatchback,manual,cng,maruti,maruti celerio,425000,silky silver,3695.0,1600.0,1560.0,2425.0,5 speed,5.0,235.0,3500.0
hatchback,manual,cng,maruti,maruti celerio,380000,white,3695.0,1600.0,1560.0,2425.0,5 speed,5.0,235.0,3500.0
muv,manual,cng,maruti,maruti ertiga,795000,silver,4296.0,1695.0,1685.0,2740.0,5 speed,7.0,135.0,4000.0
hatchback,manual,cng,maruti,maruti wagon r,350000,bakers chocolate,3599.0,1495.0,1700.0,2400.0,5 speed,5.0,180.0,3500.0
